name,decade,appearance,hh_sale,appear_pct,h_ppi,ebay_sales,ebay_ppi,wiz_value,wiz_ppi,street_value,os_ppi
Jonathan Silvercloud,1970,0,0,0,0,0,0,0,0,0,0
Jonathan Silvercloud,1980,11,1670,8.03,151.82000000000002,45,4.09,56,5.09,91,8.27
Jonathan Silvercloud,1990,28,2040,62.220000000000006,72.86,198,7.07,146,5.21,210,7.5
Remy LeBeau,1960,0,0,0,0,0,0,0,0,0,0
Remy LeBeau,1970,0,0,0,0,0,0,0,0,0,0
Remy LeBeau,1980,0,0,0,0,0,0,0,0,0,0
Remy LeBeau,1990,17,1519,37.78,89.35,255,15,109,6.41,188,11.06
Jubilation Lee,1960,0,0,0,0,0,0,0,0,0,0
Jubilation Lee,1970,0,0,0,0,0,0,0,0,0,0
Jubilation Lee,1980,6,442,4.38,73.66999999999999,116,19.330000000000002,47,7.83,86,14.33
Jubilation Lee,1990,17,1150,37.78,67.64999999999999,101,5.94,112,6.59,126,7.41
Lucas Bishop,1960,0,0,0,0,0,0,0,0,0,0
Lucas Bishop,1970,0,0,0,0,0,0,0,0,0,0
Lucas Bishop,1980,0,0,0,0,0,0,0,0,0,0
Lucas Bishop,1990,16,729,35.56,45.56,65,4.06,36,2.25,80,5
Betsy Braddock,1960,0,0,0,0,0,0,0,0,0,0
Betsy Braddock,1970,0,0,0,0,0,0,0,0,0,0
Betsy Braddock,1980,45,5573,32.849999999999994,123.84,490,10.89,316,7.02,468,10.4
Betsy Braddock,1990,14,1030,31.110000000000003,73.57,95,6.79,106,7.57,109,7.79
Charles Xavier,1960,39,819537,61.9,21013.77,21224,544.21,7000,179.49,63095,1617.82
Charles Xavier,1970,46,166297,66.66999999999999,3615.15,4415,95.98,1453,31.59,9145,198.8
Charles Xavier,1980,61,42197,44.53,691.75,1121,18.38,511,8.38,1673,27.43
Charles Xavier,1990,23,1068,51.11,46.43,83,3.61,66,2.8699999999999997,125,5.430000000000001
